Wall time,Step,Value
1698308794.8073592,0,25.191150665283203
1698308872.2204287,1,1.2142938375473022
1698308949.431814,2,1.1485669612884521
1698309026.7340894,3,1.062886118888855
1698309103.9466498,4,1.0080516338348389
1698309181.1238518,5,0.943074643611908
1698309258.4452145,6,0.8642997145652771
1698309335.7195523,7,0.789685845375061
1698309413.073532,8,0.7147886157035828
1698309490.3273618,9,0.6592825651168823
1698309567.8313308,10,0.6267824769020081
1698309644.979425,11,0.5997748374938965
1698309722.3982716,12,0.5947539210319519
1698309799.5617244,13,0.5657219290733337
1698309876.877495,14,0.5292451977729797
1698309954.0849333,15,0.5210570693016052
1698310031.1771705,16,0.4700644016265869
1698310108.526934,17,0.48747196793556213
1698310185.8299093,18,0.471167653799057
1698310263.1518474,19,0.4374158978462219
1698310340.2445693,20,0.4758634567260742
1698310417.662788,21,0.43781203031539917
1698310495.5312488,22,0.42327040433883667
1698310573.0365634,23,0.4228281080722809
1698310650.5532563,24,0.41825732588768005
1698310728.8019946,25,0.41081684827804565
1698310806.159858,26,0.398945152759552
1698310883.8777714,27,0.3986899256706238
1698310961.506186,28,0.38954660296440125
1698311038.9336104,29,0.3758104145526886
1698311116.328846,30,0.3794814646244049
1698311193.546462,31,0.4022168517112732
1698311271.7499733,32,0.3746965527534485
1698311350.0276706,33,0.3840023875236511
1698311428.68347,34,0.3791956901550293
1698311507.0114841,35,0.3509792983531952
1698311585.7446206,36,0.3446437120437622
1698311664.0705295,37,0.3405531644821167
1698311742.4734902,38,0.37324613332748413
1698311820.7094703,39,0.3625476062297821
1698311899.0587518,40,0.350237101316452
1698311977.2332814,41,0.3419518768787384
1698312055.802936,42,0.3375380337238312
1698312134.6606143,43,0.3284110426902771
1698312212.8003116,44,0.3344431519508362
1698312291.2004488,45,0.3240114450454712
1698312369.6788554,46,0.31908318400382996
1698312447.9521043,47,0.31739792227745056
1698312525.9078867,48,0.3142494857311249
1698312604.4215007,49,0.3171076774597168
1698312682.5706758,50,0.31337863206863403
1698312760.7217007,51,0.3312315344810486
1698312839.785968,52,0.31559446454048157
1698312918.1880882,53,0.33107441663742065
1698312996.061398,54,0.30943402647972107
1698313075.1866956,55,0.2934066653251648
1698313153.6679003,56,0.2900981307029724
1698313231.9690723,57,0.2862895131111145
1698313310.5166185,58,0.2745301425457001
1698313389.0177913,59,0.2986370027065277
1698313467.34674,60,0.26576700806617737
1698313545.5761147,61,0.2674083411693573
1698313623.7511015,62,0.26591092348098755
1698313703.1941316,63,0.25329285860061646
1698313781.7312915,64,0.2581128776073456
1698313860.2673492,65,0.2678248882293701
1698313938.651679,66,0.2537613809108734
1698314017.3653839,67,0.2514174282550812
1698314095.348023,68,0.24030350148677826
1698314174.420369,69,0.2407875657081604
1698314253.1777034,70,0.23673593997955322
1698314331.3463726,71,0.2342306673526764
1698314409.5341306,72,0.23421087861061096
1698314488.1141176,73,0.22803716361522675
1698314566.059168,74,0.22100380063056946
1698314645.026105,75,0.2513851821422577
1698314724.39344,76,0.22985675930976868
1698314803.6141856,77,0.21816717088222504
1698314882.4250076,78,0.23471815884113312
1698314961.3722937,79,0.2261350303888321
1698315040.255707,80,0.2173006385564804
1698315119.3133173,81,0.20956431329250336
1698315198.0626059,82,0.20237833261489868
1698315276.861089,83,0.19902682304382324
1698315355.799223,84,0.20516496896743774
1698315434.8979385,85,0.1949288249015808
1698315513.9037476,86,0.185721293091774
1698315592.7314122,87,0.20770570635795593
1698315671.4240303,88,0.20770087838172913
1698315750.3913946,89,0.19622443616390228
1698315828.8353343,90,0.1941729485988617
1698315907.5753505,91,0.1938522458076477
1698315986.3773112,92,0.18747898936271667
1698316065.414949,93,0.18414416909217834
1698316144.3494856,94,0.19730404019355774
